geometry_wkt,addr:street,highway
POINT (-97.394644 27.781916),,traffic_signals
POINT (-97.3045221 27.6420571),,turning_circle
POINT (-97.3379349 27.7013419),,turning_circle
POINT (-97.3574119 27.6867614),,turning_circle
POINT (-97.4276161 27.7968558),,traffic_signals
POINT (-97.4260686 27.7988186),,traffic_signals
POINT (-97.4245541 27.8006789),,traffic_signals
POINT (-97.395223 27.7127607),,turning_circle
POINT (-97.2979179 27.6310662),,turning_circle
POINT (-97.2296394 27.5808727),,turning_circle
POINT (-97.3825058 27.6888064),,turning_circle
POINT (-97.3504846 27.693262),,turning_circle
POINT (-97.4382047 27.7434449),,turning_circle
POINT (-97.4052471 27.6664588),,turning_circle
POINT (-97.226074 27.5988882),,turning_circle
POINT (-97.2996274 27.6786428),,turning_circle
POINT (-97.2942553 27.6494319),,traffic_signals
POINT (-97.4019035 27.6760602),,turning_circle
POINT (-97.4347604 27.7163211),,turning_circle
POINT (-97.4534529 27.8043006),,traffic_signals
POINT (-97.4434956 27.8032751),,traffic_signals
POINT (-97.453316 27.8034349),,traffic_signals
POINT (-97.4424326 27.8023948),,traffic_signals
POINT (-97.4930384 27.8072309),,motorway_junction
POINT (-97.3952258 27.8010081),,traffic_signals
POINT (-97.3931141 27.8018493),,traffic_signals
POINT (-97.3915439 27.8020702),,traffic_signals
POINT (-97.5721283 27.8472152),,traffic_signals
POINT (-97.6147252 27.8612693),,motorway_junction
POINT (-97.3865468 27.702824),,turning_circle
POINT (-97.3973156 27.6849577),,turning_circle
POINT (-97.2379987 27.6097113),,turning_circle
POINT (-97.3989386 27.7274604),,turning_circle
POINT (-97.5882087 27.8381361),,turning_circle
POINT (-97.4392539 27.7549568),,turning_circle
POINT (-97.3810946 27.6934674),,turning_circle
POINT (-97.3977175 27.778977),,traffic_signals
POINT (-97.4015585 27.7787776),,traffic_signals
POINT (-97.4069042 27.7784562),,traffic_signals
POINT (-97.4116473 27.7781872),,traffic_signals
POINT (-97.4133066 27.7781082),,traffic_signals
POINT (-97.4154375 27.7780975),,traffic_signals
POINT (-97.4204036 27.7780244),,traffic_signals
POINT (-97.4284765 27.7775222),,traffic_signals
POINT (-97.3953377 27.6970521),,traffic_signals
POINT (-97.4161905 27.6745434),,turning_circle
POINT (-97.4082292 27.6845958),,turning_circle
POINT (-97.3975177 27.7941721),,traffic_signals
POINT (-97.3974039 27.7962786),,traffic_signals
POINT (-97.4219544 27.7185549),,turning_circle
POINT (-97.3083078 27.640237),,turning_circle
POINT (-97.3882161 27.7084637),,traffic_signals
POINT (-97.4021457 27.7216816),,turning_circle
POINT (-97.3810699 27.6677241),,stop
POINT (-97.4505845 27.759382),,turning_circle
POINT (-97.452344 27.7593867),,turning_circle
POINT (-97.4823275 27.8019705),,turning_circle
POINT (-97.4767753 27.8022232),,turning_circle
POINT (-97.373414 27.7320838),,traffic_signals
POINT (-97.3780305 27.7246752),,traffic_signals
POINT (-97.3822533 27.7179738),,traffic_signals
POINT (-97.3901336 27.7053545),,traffic_signals
POINT (-97.3982106 27.6925129),,traffic_signals
POINT (-97.3999612 27.6897176),,traffic_signals
POINT (-97.4021565 27.6862834),,traffic_signals
POINT (-97.4061424 27.6799234),,traffic_signals
POINT (-97.3675096 27.6828005),,turning_circle
POINT (-97.3689034 27.6834864),,turning_circle
POINT (-97.3517552 27.6680787),,turning_circle
POINT (-97.4178731 27.6900735),,turning_circle
POINT (-97.2394131 27.6071185),,turning_circle
POINT (-97.3793971 27.6704202),,turning_circle
POINT (-97.3780477 27.6697565),,turning_circle
POINT (-97.2281022 27.6249401),,turning_circle
POINT (-97.5982891 27.8368782),,turning_circle
POINT (-97.4030679 27.7933018),,traffic_signals
POINT (-97.4030421 27.7942749),,traffic_signals
POINT (-97.4030108 27.7963903),,traffic_signals
POINT (-97.4029717 27.7983298),,traffic_signals
POINT (-97.5549738 27.831535),,turning_circle
POINT (-97.4443998 27.7122737),,turning_circle
POINT (-97.3675346 27.6749025),,turning_circle
POINT (-97.3512987 27.6776588),,traffic_signals
POINT (-97.3790259 27.7148193),,turning_circle
POINT (-97.6018014 27.8508077),,turning_circle
POINT (-97.4552011 27.7694932),,turning_circle
POINT (-97.394421 27.7140483),,turning_circle
POINT (-97.36407 27.6691369),,turning_circle
POINT (-97.403282 27.7649814),,traffic_signals
POINT (-97.4076905 27.7675098),,traffic_signals
POINT (-97.4149014 27.7709717),,traffic_signals
POINT (-97.4158045 27.7714736),,traffic_signals
POINT (-97.4203175 27.773629),,traffic_signals
POINT (-97.4220332 27.7744584),,traffic_signals
POINT (-97.4380086 27.7827087),,traffic_signals
POINT (-97.44027 27.7860346),,traffic_signals
POINT (-97.4515919 27.7972573),,traffic_signals
POINT (-97.5287102 27.8213052),,turning_circle
POINT (-97.4067385 27.6779276),,turning_circle
POINT (-97.3941342 27.6802099),,turning_circle
POINT (-97.3982143 27.6837453),,turning_circle
POINT (-97.4132137 27.7034525),,turning_circle
POINT (-97.3545775 27.6765386),,turning_circle
